name,category,description,price
"GPO1 / UPGM 201","Molded Parts","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Molded Parts","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Molded Parts","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Molded Parts","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Molded Parts","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Molded Parts","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","Molded Parts","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Molded Parts","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Molded Parts","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Molded Parts","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Molded Parts","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Molded Parts","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","Molded Parts","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Molded Parts","Magnetic Laminates - industrial composite",0
"MICA Tubes","Molded Parts","MICA Tubes - industrial composite",0
"MICA Sheet","Molded Parts","MICA Sheet - industrial composite",0
"MICA Paper","Molded Parts","MICA Paper - industrial composite",0
"MICA Tape","Molded Parts","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Molded Parts","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Molded Parts","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Molded Parts","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Molded Parts","Calcinied MICA Tape - industrial composite",0
"Products |","Molded Parts","Products | - industrial composite",0
"GPO-1","Molded Parts","GPO-1 - industrial composite",0
"GPO-2","Molded Parts","GPO-2 - industrial composite",0
"GPO-3","Molded Parts","GPO-3 - industrial composite",0
"SG204","Molded Parts","SG204 - industrial composite",0
"HT276","Molded Parts","HT276 - industrial composite",0
"Products","Copper Clad Laminate","Products - industrial composite",0
"Glass Fabric Laminates","Copper Clad Laminate","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Copper Clad Laminate","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Copper Clad Laminate","Speciality Laminates - industrial composite",0
"MICA","Copper Clad Laminate","MICA - industrial composite",0
"Tubes And Cylinders","Copper Clad Laminate","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Copper Clad Laminate","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Copper Clad Laminate","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Copper Clad Laminate","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Copper Clad Laminate","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Copper Clad Laminate","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Copper Clad Laminate","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","Copper Clad Laminate","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","Copper Clad Laminate","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","Copper Clad Laminate","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","Copper Clad Laminate","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","Copper Clad Laminate","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","Copper Clad Laminate","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","Copper Clad Laminate","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Copper Clad Laminate","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Copper Clad Laminate","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Copper Clad Laminate","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Copper Clad Laminate","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Copper Clad Laminate","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","Copper Clad Laminate","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Copper Clad Laminate","Magnetic Laminates - industrial composite",0
"MICA Tubes","Copper Clad Laminate","MICA Tubes - industrial composite",0
"MICA Sheet","Copper Clad Laminate","MICA Sheet - industrial composite",0
"MICA Paper","Copper Clad Laminate","MICA Paper - industrial composite",0
"MICA Tape","Copper Clad Laminate","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Copper Clad Laminate","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Copper Clad Laminate","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Copper Clad Laminate","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Copper Clad Laminate","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","Copper Clad Laminate","Glass Fabric Laminates | - industrial composite",0
"Products","NEMA FR4","Products - industrial composite",0
"Glass Fabric Laminates","NEMA FR4","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA FR4","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA FR4","Speciality Laminates - industrial composite",0
"MICA","NEMA FR4","MICA - industrial composite",0
"Tubes And Cylinders","NEMA FR4","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA FR4","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA FR4","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA FR4","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA FR4","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA FR4","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA FR4","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA FR4","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA FR4","GPO2 / UPGM 202 - industrial composite",0
"GPO3 / UPGM 203","NEMA FR4","GPO3 / UPGM 203 - industrial composite",0
"SG204 / GPO1","NEMA FR4","SG204 / GPO1 - industrial composite",0
"HT276 / UPGM 204/205","NEMA FR4","HT276 / UPGM 204/205 - industrial composite",0
"P1 / PF CP 201","NEMA FR4","P1 / PF CP 201 - industrial composite",0
"P2 / PF CP 207","NEMA FR4","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","NEMA FR4","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","NEMA FR4","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","NEMA FR4","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","NEMA FR4","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","NEMA FR4","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","NEMA FR4","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","NEMA FR4","Magnetic Laminates - industrial composite",0
"MICA Tubes","NEMA FR4","MICA Tubes - industrial composite",0
"MICA Sheet","NEMA FR4","MICA Sheet - industrial composite",0
"MICA Paper","NEMA FR4","MICA Paper - industrial composite",0
"MICA Tape","NEMA FR4","MICA Tape - industrial composite",0
"Synthetic MICA Tape","NEMA FR4","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","NEMA FR4","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","NEMA FR4","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","NEMA FR4","Calcinied MICA Tape - industrial composite",0
"Glass Fabric Laminates |","NEMA FR4","Glass Fabric Laminates | - industrial composite",0
"NEMA FR4","NEMA FR4","NEMA FR4 - industrial composite",0
"Excellent chemical resistance & radiation resistance","NEMA FR4","Excellent chemical resistance & radiation resistance - industrial composite",0
"RoHS, Reach certified products","NEMA FR4","RoHS, Reach certified products - industrial composite",0
"Previous product","NEMA FR4","Previous product - industrial composite",0
"next product","NEMA FR4","next product - industrial composite",0
"View All Products","NEMA FR4","View All Products - industrial composite",0
"Glass Mat Laminates","NEMA FR4","Glass Mat Laminates - industrial composite",0
"Magnetic Products","NEMA FR4","Magnetic Products - industrial composite",0
"Products","NEMA G10","Products - industrial composite",0
"Glass Fabric Laminates","NEMA G10","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","NEMA G10","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","NEMA G10","Speciality Laminates - industrial composite",0
"MICA","NEMA G10","MICA - industrial composite",0
"Tubes And Cylinders","NEMA G10","Tubes And Cylinders - industrial composite",0
"Threaded Rods","NEMA G10","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","NEMA G10","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","NEMA G10","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","NEMA G10","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","NEMA G10","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","NEMA G10","G30 / PFGC 301 - industrial composite",0
"GPO1 / UPGM 201","NEMA G10","GPO1 / UPGM 201 - industrial composite",0
"GPO2 / UPGM 202","NEMA G10","GPO2 / UPGM 202 - industrial composite",0
